game_id,comp,season,date_utc,stage,venue,home_name,home_code,away_name,away_code,home_score,away_score,status,source,first_seen
nba-18446998,NBA,2025-26,2025-11-15T00:30:00Z,Regular Season,,Detroit Pistons,DET,Philadelphia 76ers,PHI,114,105,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18446999,NBA,2025-26,2025-11-15T01:00:00Z,Regular Season,,Houston Rockets,HOU,Portland Trail Blazers,POR,140,116,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447000,NBA,2025-26,2025-11-15T01:00:00Z,Regular Season,,Milwaukee Bucks,MIL,Charlotte Hornets,CHA,147,134,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447001,NBA,2025-26,2025-11-15T01:00:00Z,Regular Season,,Minnesota Timberwolves,MIN,Sacramento Kings,SAC,124,110,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447002,NBA,2025-26,2025-11-15T01:00:00Z,Regular Season,,New Orleans Pelicans,NOP,Los Angeles Lakers,LAL,104,118,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447003,NBA,2025-26,2025-11-15T01:30:00Z,Regular Season,,Dallas Mavericks,DAL,LA Clippers,LAC,127,133,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447004,NBA,2025-26,2025-11-15T02:30:00Z,Regular Season,,San Antonio Spurs,SAS,Golden State Warriors,GSW,108,109,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447005,NBA,2025-26,2025-11-15T22:00:00Z,Regular Season,,Cleveland Cavaliers,CLE,Memphis Grizzlies,MEM,108,100,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447006,NBA,2025-26,2025-11-16T00:00:00Z,Regular Season,,Charlotte Hornets,CHA,Oklahoma City Thunder,OKC,96,109,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447007,NBA,2025-26,2025-11-16T00:00:00Z,Regular Season,,Indiana Pacers,IND,Toronto Raptors,TOR,111,129,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447008,NBA,2025-26,2025-11-16T01:00:00Z,Regular Season,,Milwaukee Bucks,MIL,Los Angeles Lakers,LAL,95,119,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447009,NBA,2025-26,2025-11-16T01:00:00Z,Regular Season,,Minnesota Timberwolves,MIN,Denver Nuggets,DEN,112,123,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447010,NBA,2025-26,2025-11-16T20:30:00Z,Regular Season,,Boston Celtics,BOS,LA Clippers,LAC,121,118,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447011,NBA,2025-26,2025-11-16T21:00:00Z,Regular Season,,San Antonio Spurs,SAS,Sacramento Kings,SAC,123,110,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447012,NBA,2025-26,2025-11-16T23:00:00Z,Regular Season,,Washington Wizards,WAS,Brooklyn Nets,BKN,106,129,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447013,NBA,2025-26,2025-11-17T00:00:00Z,Regular Season,,Houston Rockets,HOU,Orlando Magic,ORL,117,113,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447014,NBA,2025-26,2025-11-17T00:00:00Z,Regular Season,,New Orleans Pelicans,NOP,Golden State Warriors,GSW,106,124,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447015,NBA,2025-26,2025-11-17T00:30:00Z,Regular Season,,Dallas Mavericks,DAL,Portland Trail Blazers,POR,138,133,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447016,NBA,2025-26,2025-11-17T01:00:00Z,Regular Season,,Phoenix Suns,PHX,Atlanta Hawks,ATL,122,124,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447017,NBA,2025-26,2025-11-17T01:00:00Z,Regular Season,,Utah Jazz,UTA,Chicago Bulls,CHI,150,147,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447018,NBA,2025-26,2025-11-18T00:00:00Z,Regular Season,,Cleveland Cavaliers,CLE,Milwaukee Bucks,MIL,118,106,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447019,NBA,2025-26,2025-11-18T00:00:00Z,Regular Season,,Detroit Pistons,DET,Indiana Pacers,IND,127,112,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447020,NBA,2025-26,2025-11-18T00:00:00Z,Regular Season,,Philadelphia 76ers,PHI,LA Clippers,LAC,110,108,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
nba-18447021,NBA,2025-26,2025-11-18T00:30:00Z,Regular Season,,Miami Heat,MIA,New York Knicks,NYK,115,113,FINISHED,balldontlie,2026-08-23T20:56:09+00:00
